venue_id,venue_lon,venue_lat,zone_id
ven_6f4a3437455573596f624c526b6f77324c414e756756504a496843,-73.9431148,40.7911217,75
ven_6f6368694c54334f386b32526b6f77596c726f685653664a496843,,,-1
ven_7732374951527a41425143526b6f7759706c584c4859394a496843,-73.9915642,40.7677253,50
ven_776351756c436838704850526b6f773258776a4d3039654a496843,-73.9437714,40.7985573,74
ven_30504d554d38614b6b6f78526b6f7759786267705963354a496843,-73.953953,40.778291,263
ven_307063396f374b4b4e6b71526b6f7759564a316c35656e4a496843,-73.9621872,40.7765565,236
ven_344d7478767a4b74377548526b6f7759566c78494a516d4a496843,-73.9848,40.758704,230
ven_34787a3570694c6e375964526b6f7759645a30414138594a496843,-73.9600011,40.7794813,236
ven_34796c4d6f6155632d5863526b6f77593934617a6c65714a496843,,,-1
ven_385252516c6f7a32335439526b6f7759782d57657a5f744a496843,-73.9625475,40.7760566,236
ven_3873773153757568447453526b6f7759786250473457374a496843,,,-1
ven_3875714251714574684232526b6f775a78614e3764616c4a496843,-73.9652857,40.7723883,237
ven_41385744666f5633537862526b6f775a3967446a6b34774a496843,-73.9967075,40.7223553,144
ven_41546447325f6964534674526b6f775a4673765f6133624a496843,-73.9597829,40.7705147,141
ven_4537554f41513330705337526b6f7759705f6736675a764a496843,-73.9733933,40.7631712,163
ven_454e45337a4148416b4d37526b6f775a564956534632774a496843,-73.9945975,40.7269989,114
ven_455946676359706d47646e526b6f77595a5f4c735033704a496843,-73.9825405,40.768593,142
ven_4565635872326c5643414d526b6f775a70364b4e5452304a496843,-73.985635,40.7506729,164
ven_4569325646577371436e67526b6f77594e6166594e59774a496843,,,-1
ven_456e54656a5a6276575936526b6f775a4e2d43744f5f644a496843,-73.9552754,40.7796391,236
ven_4935413664674943595a53526b6f775a743776425656564a496843,-73.9990473,40.7440372,90
ven_495843304f594b6f355130526b6f775978656f435636394a496843,-73.9653656,40.7715155,237
ven_4d4f47536d357169325957526b6f7759784f616a4537314a496843,,,-1
ven_51313230425f776a6d6d47526b6f775974666f6c787a514a496843,,,-1
ven_5156703347674332745769526b6f775931304b643232664a496843,,,-1
ven_51667962777a6c6d64306e526b49726f725a77756f366d4a496843,-73.9829981,40.766992,48
ven_51683176714b3744615056526b6f77597862375f6b576f4a496843,-73.9553549,40.7791847,236
ven_5172433631667633304967526b6f775a783654307553774a496843,,,-1
ven_517636454b535639515037526b6f775968566f6c767a4a4a496843,-73.9835094,40.7685604,142
ven_55317964596f7075755871526b6f77597476365a6f39624a496843,-73.9761776,40.7603849,161
ven_554f706737705165634678526b6f775a315a66614331724a496843,,,-1
ven_5555735448376450393335526b6f77597434376749586e4a496843,,,-1
ven_5566616f4e337545413945526b6f7759782d54524361674a496843,-73.9676192,40.7695551,237
ven_5577355866726e4c5f2d7a526b6f775a6c4b64414863364a496843,-73.9861371,40.7493905,164
ven_594d347279374661335a62526b6f775a465938664338314a496843,-73.9839958,40.72023,232
ven_5962576e4e726135545f56526b6f775939595a4d3558324a496843,-73.9750827,40.7830456,239
ven_5977566274766f5a5f6f57526b6f775a467747674b55474a496843,,,-1
ven_674654784575357a4d434b526b6f7759784f764e4834544a496843,,,-1
ven_6f6b34526d365f78674f41526b6f775a353432694a30304a496843,-73.9982019,40.7234978,144
ven_73306a6956627357544e53526b6f7759784c7750352d514a496843,-73.9543739,40.7777874,263
ven_774d586d354e5a6b6c4562526b6f7759425041344532384a496843,-73.972257,40.7630135,163
ven_775f646f6750325253517a526b6f7759706671475766524a496843,,,-1
ven_776c426b3172735a6f5455526b6f77595a5f4c735033704a496843,-73.98275,40.768164,142
ven_7774565736353150745f5f526b6f775a394948463778654a496843,-73.9974402,40.724355,144
,,,
ven_344b4b4b6f53574e2d6766526b6f7759566c7731545a654a496843,,,-1
ven_344c4a765168636d755334526b6f775a35576a595177444a496843,,,-1
ven_346a773453455166657967526b6f775a396f6933567a4d4a496843,,,-1
ven_4148746f5a506e74414143526b6f77595a314b6f3455794a496843,,,-1
Gift Expression Inc,,,-1
ven_45415665706c356d7a385a526b6f775a315048544252394a496843,,,-1
ven_455767536751545570386d526b6f775a704e49672d56534a496843,-73.9878782,40.7603864,48
ven_4559726b4f53414a705376526b6f775a314b78397136714a496843,,,-1
ven_455a31624d665164437a37526b6f77596866467145515f4a496843,,,-1
ven_456c694e4c624c6f555862526b6f7759566c74633152704a496843,-73.9854098,40.7591631,230
ven_45717a5248764b33445275526b6f775a78367a647731794a496843,,,-1
ven_4d396a464d58377841536a526b6f775a56654f463238784a496843,,,-1
ven_4d465f6e454c305564654f526b6f775a564870463336374a496843,,,-1
ven_4d50544870696848787862526b6f775a524a6a6e4b34544a496843,,,-1
ven_4d67644a7a4f42754a6772526b6f775a3949544542352d4a496843,-74.0011542,40.7538221,246
ven_4d68567669785469346469526b6f775a5a7167564965704a496843,-73.988793,40.74321,234
ven_4d6f776d77396236545252526b6f77595a46566c7a57364a496843,,,-1
ven_5145397349565f484b704e526b6f77595a5a633661514e4a496843,,,-1
ven_5149584e6b423237664c6b526b6f773248785f7a7356564a496843,-73.9483469,40.8044561,41
ven_51682d435f534d3778656c526b6f775a4a497765497a4f4a496843,,,-1
ven_55356e6f4872322d6c7879526b6f775a646d4d4976796d4a496843,,,-1
ven_554977416f345578784c55526b6f77596876504948524d4a496843,-73.9811633,40.7636582,163
ven_5974554375546d79337558526b6f7759355f69735a33474a496843,,,-1
ven_5978497a79425145364750526b6f77594e6c667a5962534a496843,,,-1
ven_6337736776704159596d39526b6f77594e466742737a4d4a496843,,,-1
ven_674d7877455a3951724c4e526b6f775978506277637a334a496843,,,-1
ven_6b4239445161524456464b526b6f77595a314662492d4b4a496843,,,-1
ven_6b5872516b756336487341526b6f77595a564c476b51354a496843,-73.9835957,40.762456,230
ven_6f453438614f534f377574526b6f775a466974504953354a496843,-74.0051287,40.7354342,249
Omni Gift Shop,,,-1
ven_6f5a534d314a7a7769335a526b6f775a744b7249665a2d4a496843,-73.9859844,40.7526504,100
ven_6f5f4568656f3767384579526b6f775a7871356b6e55484a496843,,,-1
ven_6f7a656878515045434150526b6f7761647944614d36784a496843,,,-1
ven_73384a356c42716a656576526b6f77616c684247547a624a496843,-74.0107418,40.712104,261
ven_736843386c3045586f6f5f526b6f7759566c2d5062314b4a496843,,,-1
ven_7377626750506d522d726e526b6f775a6c4b36446962574a496843,-73.9836228,40.7492225,170
ven_7730486869747a5747456c526b6f77595a466c5763365f4a496843,,,-1
ven_77446a687a695a67306746526b6f77595a6c64487854584a496843,-73.9847574,40.7606177,230
ven_7762697a6d665358397446526b6f7759563135584c52494a496843,,,-1
ven_30356e77514c7172685648526b6f7759524947385130624a496843,-73.9764072,40.7874921,239
ven_30365f61684a68514c7730526b6f775a6c6b7a707255624a496843,-73.9784575,40.7770249,142
ven_3038654c546f3936784873526b6f775a314864677151534a496843,-73.9852836,40.758049,230
ven_30356e77514c7172685648526b6f7759524947385130624a496843,-73.9764072,40.7874921,239
ven_30365f61684a68514c7730526b6f775a6c6b7a707255624a496843,-73.9784575,40.7770249,142
ven_3038654c546f3936784873526b6f775a314864677151534a496843,-73.9852836,40.758049,230
ven_3039793356676f745a3570526b6f775974496c6d7378524a496843,-73.9783639,40.777607,142
ven_304330524e695f70503476526b6f775a6c6e5a713332574a496843,-73.9767421,40.7629527,161
ven_3046564f552d3633755343526b6f77595649495368324c4a496843,-73.9725667,40.785675,239
ven_3048674a4764455f76744f526b6f77594a6f5f617658724a496843,-73.9739812,40.7911087,238
ven_304961777454515336474c526b6f775a4e5173735733524a496843,-73.974862,40.751164,162
ven_304d74385a726d4c746449526b6f7759565964796d33514a496843,-73.9738724,40.7844993,239
ven_304f705a563666457a3258526b6f775a6c7476456754364a496843,-73.9787434,40.7821972,239
ven_30506c5677346630437635526b6f775a78304d533079784a496843,-73.983104,40.7727862,142
ven_30516242387878596e4d41526b6f775a745f427a7766494a496843,-73.973045,40.785587,239
ven_3068674e6f56796343637a526b6f7759743177664259304a496843,-73.9766667,40.7638889,163
ven_306943706c304962617575526b6f77595249535675516f4a496843,-73.9754856,40.7867058,239
ven_30714e5a724f6950413148526b6f7759744c354b5331454a496843,-73.9532816,40.7754985,263
ven_342d4f33343573744c7a2d526b6f775a42774547545f774a496843,-73.9825026,40.7545381,161
ven_34416b6a74734635334274526b6f775964314e46695a734a496843,-73.9885436,40.764437,48
ven_345749524855354c344259526b6f775a56706b674639724a496843,-73.9802669,40.7800898,239
ven_3844703267353739533762526b6f775a7052724545786c4a496843,-73.9687101,40.7680535,237
ven_38493930432d7835416344526b6f775a46505a4f4566384a496843,-73.9807534,40.780121,239
ven_384a62436f6d5976694364526b6f77595a5968617061724a496843,-73.9779869,40.7870165,239
ven_3855585f5861474e706f34526b6f7759393079333631484a496843,-73.995992,40.764568,50
ven_385a743953644e70587637526b6f7759395f534f5334334a496843,-73.9823074,40.7597641,230
ven_38634657454b5f4e4f3633526b6f7759706f526b4956354a496843,-73.9808312,40.7780463,142
ven_386a38316843494f623939526b6f775956497a52385f6b4a496843,-73.975952,40.7858998,239
ven_386e695754345a63674c55526b6f775a52572d447461364a496843,-73.9872499,40.7286979,79
ven_412d3456724470426e4e74526b6f77595a3442455832334a496843,-73.9771187,40.784497,239
ven_41327361525f7279547a31526b6f77596c596e506e7a524a496843,-73.9801793,40.7802977,239
ven_4148494f684649484f4477526b6f775a4e68634d4255554a496843,-73.9880941,40.7456687,164
ven_414a747771393059503062526b6f7759523448483656324a496843,-73.9765902,40.7876417,239
ven_414b7738354e6969583170526b6f77594a6f5f317930534a496843,-73.9739083,40.7911514,238
ven_415745442d5a476e6b6736526b6f775a787569364655794a496843,-73.973205,40.7905048,238
ven_41585874446f73365f7a42526b6f77595a6f43636432304a496843,-73.9772987,40.78499,239
ven_4167636c42756f62557359526b6f775a646f545a4f554b4a496843,-73.976552,40.7860702,239
ven_4168437230416a45783158526b6f7759526c2d6f5339524a496843,-73.986654,40.757498,230
ven_416a395131386f65616b51526b6f7759703461425661574a496843,-73.9748508,40.7900008,238
ven_417239716752736e6c447a526b6f7759745078672d574d4a496843,-73.976753,40.761081,161
ven_417a5431376a5179444b58526b6f77596859716e6a574a4a496843,-73.9774244,40.7838797,239
ven_4531715754335f314a5337526b6f7759565950466435714a496843,-73.9727459,40.7851546,239
ven_4542344e3875744948577a526b6f7759747055696252704a496843,-73.9711298,40.7875139,238
ven_4543634c6c434732394731526b6f77595634334c5539324a496843,-73.977012,40.785275,239
ven_4546756a7858704b6e724c526b6f7759686f55346e30354a496843,-73.9805501,40.7820674,239
ven_454a426f344a7a6c764a74526b6f7759525f767035794b4a496843,-73.978841,40.7735151,142
